"CityName","CityPopulation","StateProvinceCode","StateProvinceName","StatePopulation"
"1","Aaronsburg",613,"PA","Pennsylvania",13284753
"2","Abanda",192,"AL","Alabama",5437278
"3","Abbeville",5237,"SC","South Carolina",4774839
"4","Abbeville",2908,"GA","Georgia",9992167
"5","Abbeville",2688,"AL","Alabama",5437278
"6","Abbeville",12257,"LA","Louisiana",4810488
"7","Abbeville",419,"MS","Mississippi",2991207
"8","Abbotsford",2310,"WI","Wisconsin",6211317
"9","Abbott",356,"TX","Texas",27506120
"10","Abbott",356,"AR","Arkansas",3077747
"11","Abbott",NA,"NM","New Mexico",2345662
"12","Abbott",356,"VA","Virginia",8260405
"13","Abbott",NA,"WV","West Virginia",2085839
"14","Abbottsburg",NA,"NC","North Carolina",10241982
"15","Abbottstown",1011,"PA","Pennsylvania",13284753
"16","Abbyville",87,"KS","Kansas",2893957
"17","Abell",NA,"TX","Texas",27506120
"18","Abercrombie",263,"ND","North Dakota",723393
"19","Aberdeen",26091,"SD","South Dakota",844877
"20","Aberdeen",14959,"MD","Maryland",5928814
"21","Aberdeen",16896,"WA","Washington",7540272
"22","Aberdeen",1994,"ID","Idaho",1612136
"23","Aberdeen",6350,"NC","North Carolina",10241982
"24","Aberdeen",5612,"MS","Mississippi",2991207
"25","Aberdeen",1638,"OH","Ohio",12514985
"26","Aberdeen",NA,"KY","Kentucky",4571106
"27","Aberfoil",NA,"AL","Alabama",5437278
"28","Abernant",NA,"AL","Alabama",5437278
"29","Abernathy",2805,"TX","Texas",27506120
"30","Abeytas",56,"NM","New Mexico",2345662
"31","Abie",69,"NE","Nebraska",1943256
"32","Abilene",117063,"TX","Texas",27506120
"33","Abilene",6844,"KS","Kansas",2893957
"34","Abingdon",3319,"IL","Illinois",13397420
"35","Abingdon",8191,"VA","Virginia",8260405
"36","Abingdon",NA,"IA","Iowa",3214032
"37","Abingdon",NA,"MD","Maryland",5928814
"38","Abington",NA,"PA","Pennsylvania",13284753
"39","Abington",15985,"MA","Massachusetts[E]",6960536
"40","Abiquiu",231,"NM","New Mexico",2345662
"41","Abita Springs",2365,"LA","Louisiana",4810488
"42","Abo",NA,"NM","New Mexico",2345662
"43","Aboite",NA,"IN","Indiana",6570902
"44","Abraham",NA,"UT","Utah",3016906
"45","Abram",2067,"TX","Texas",27506120
"46","Abrams",340,"WI","Wisconsin",6211317
"47","Absarokee",1150,"MT","Montana",1187597
"48","Absecon",8411,"NJ","New Jersey",8899339
"49","Academy",NA,"SD","South Dakota",844877
"50","Acampo",341,"CA","California",41460453
"51","Accident",325,"MD","Maryland",5928814
"52","Accokeek",10573,"MD","Maryland",5928814
"53","Accomac",519,"VA","Virginia",8260405
"54","Accord",562,"NY","New York",20437172
"55","Accord",NA,"MA","Massachusetts[E]",6960536
"56","Ace",NA,"TX","Texas",27506120
"57","Aceitunas",1436,"PR","Puerto Rico (US Territory)",3613149
"58","Acequia",124,"ID","Idaho",1612136
"59","Achille",492,"OK","Oklahoma",3850568
"60","Achilles",NA,"VA","Virginia",8260405
"61","Ackerly",220,"TX","Texas",27506120
"62","Ackerman",1510,"MS","Mississippi",2991207
"63","Ackley",1589,"IA","Iowa",3214032
"64","Ackworth",83,"IA","Iowa",3214032
"65","Acme",246,"WA","Washington",7540272
"66","Acme",NA,"TX","Texas",27506120
"67","Acme",NA,"WY","Wyoming",605964
"68","Acme",NA,"LA","Louisiana",4810488
"69","Acme",NA,"NM","New Mexico",2345662
"70","Acoma",NA,"NV","Nevada",2790136
"71","Acomita",NA,"NM","New Mexico",2345662
"72","Acorn",NA,"VA","Virginia",8260405
"73","Acra",NA,"NY","New York",20437172
"74","Acree",NA,"GA","Georgia",9992167
"75","Acton",NA,"ME","Maine",1381434
"76","Acton",NA,"MT","Montana",1187597
"77","Acton",NA,"MA","Massachusetts[E]",6960536
"78","Acton",7596,"CA","California",41460453
"79","Acushnet",3073,"MA","Massachusetts[E]",6960536
"80","Acworth",NA,"NH","New Hampshire",1376397
"81","Acworth",20425,"GA","Georgia",9992167
"82","Acy",NA,"LA","Louisiana",4810488
"83","Ada",NA,"LA","Louisiana",4810488
"84","Ada",NA,"WI","Wisconsin",6211317
"85","Ada",100,"KS","Kansas",2893957
"86","Ada",5952,"OH","Ohio",12514985
"87","Ada",16810,"OK","Oklahoma",3850568
"88","Ada",1707,"MN","Minnesota",5637195
"89","Adair",781,"IA","Iowa",3214032
"90","Adair",210,"IL","Illinois",13397420
"91","Adair",790,"OK","Oklahoma",3850568
"92","Adair Village",840,"OR","Oregon",4250757
"93","Adairsville",4648,"GA","Georgia",9992167
"94","Adairville",852,"KY","Kentucky",4571106
"95","Adak",326,"AK","Alaska",735132
"96","Adams",NA,"OK","Oklahoma",3850568
"97","Adams",NA,"IN","Indiana",6570902
"98","Adams",NA,"KY","Kentucky",4571106
"99","Adams",NA,"MS","Mississippi",2991207
"100","Adams",633,"TN","Tennessee",6495978
"101","Adams",573,"NE","Nebraska",1943256
"102","Adams",350,"OR","Oregon",4250757
"103","Adams",787,"MN","Minnesota",5637195
"104","Adams",1775,"NY","New York",20437172
"105","Adams",5515,"MA","Massachusetts[E]",6960536
"106","Adams",127,"ND","North Dakota",723393
"107","Adams",1967,"WI","Wisconsin",6211317
"108","Adams Center",1568,"NY","New York",20437172
"109","Adams City",NA,"CO","Colorado",5698265
"110","Adamsburg",172,"PA","Pennsylvania",13284753
"111","Adamstown",1789,"PA","Pennsylvania",13284753
"112","Adamstown",2372,"MD","Maryland",5928814
"113","Adamsville",NA,"UT","Utah",3016906
"114","Adamsville",NA,"TX","Texas",27506120
"115","Adamsville",67,"PA","Pennsylvania",13284753
"116","Adamsville",2207,"TN","Tennessee",6495978
"117","Adamsville",114,"OH","Ohio",12514985
"118","Adamsville",4522,"AL","Alabama",5437278
"119","Adario",NA,"OH","Ohio",12514985
"120","Addicks",NA,"TX","Texas",27506120
"121","Addie",NA,"NC","North Carolina",10241982
"122","Addieville",252,"IL","Illinois",13397420
"123","Addington",114,"OK","Oklahoma",3850568
"124","Addis",3593,"LA","Louisiana",4810488
"125","Addison",758,"AL","Alabama",5437278
"126","Addison",605,"MI","Michigan",9895622
"127","Addison",36942,"IL","Illinois",13397420
"128","Addison",1763,"NY","New York",20437172
"129","Addison",207,"PA","Pennsylvania",13284753
"130","Addison",776,"WV","West Virginia",2085839
"131","Addison",13056,"TX","Texas",27506120
"132","Addison",605,"ME","Maine",1381434
"133","Addison",NA,"OH","Ohio",12514985
"134","Addison",NA,"VT","Vermont",677762
"135","Addison",NA,"WI","Wisconsin",6211317
"136","Addy",268,"WA","Washington",7540272
"137","Addyston",938,"OH","Ohio",12514985
"138","Adel",5334,"GA","Georgia",9992167
"139","Adel",3682,"IA","Iowa",3214032
"140","Adel",NA,"OR","Oregon",4250757
"141","Adel",NA,"MT","Montana",1187597
"142","Adelaide",NA,"WA","Washington",7540272
"143","Adelanto",31765,"CA","California",41460453
"144","Adeline",85,"IL","Illinois",13397420
"145","Adelino",823,"NM","New Mexico",2345662
"146","Adell",516,"WI","Wisconsin",6211317
"147","Adelphi",15086,"MD","Maryland",5928814
"148","Adelphi",380,"OH","Ohio",12514985
"149","Adelphia",NA,"NJ","New Jersey",8899339
"150","Aden",NA,"NM","New Mexico",2345662
"151","Adena",759,"OH","Ohio",12514985
"152","Adgateville",NA,"GA","Georgia",9992167
"153","Adin",272,"CA","California",41460453
"154","Adjuntas",4406,"PR","Puerto Rico (US Territory)",3613149
"155","Admire",156,"KS","Kansas",2893957
"156","Adna",NA,"WA","Washington",7540272
"157","Adolphus",NA,"KY","Kentucky",4571106
"158","Adona",209,"AR","Arkansas",3077747
"159","Adrian",664,"GA","Georgia",9992167
"160","Adrian",166,"TX","Texas",27506120
"161","Adrian",177,"OR","Oregon",4250757
"162","Adrian",1677,"MO","Missouri",6262867
"163","Adrian",1257,"MN","Minnesota",5637195
"164","Adrian",21133,"MI","Michigan",9895622
"165","Advance",1347,"MO","Missouri",6262867
"166","Advance",477,"IN","Indiana",6570902
"167","Advance",1138,"NC","North Carolina",10241982
"168","Advance",328,"MI","Michigan",9895622
"169","Adwolf",1530,"VA","Virginia",8260405
"170","Ady",NA,"MD","Maryland",5928814
"171","Ady",NA,"TX","Texas",27506120
"172","Aeneas",NA,"WA","Washington",7540272
"173","Aetna",NA,"KS","Kansas",2893957
"174","Affton",20307,"MO","Missouri",6262867
"175","Afton",2886,"MN","Minnesota",5637195
"176","Afton",845,"IA","Iowa",3214032
"177","Afton",822,"NY","New York",20437172
"178","Afton",NA,"NM","New Mexico",2345662
"179","Afton",NA,"CA","California",41460453
"180","Afton",1049,"OK","Oklahoma",3850568
"181","Afton",1911,"WY","Wyoming",605964
"182","Agar",76,"SD","South Dakota",844877
"183","Agate",NA,"CO","Colorado",5698265
"184","Agate Beach",NA,"OR","Oregon",4250757
"185","Agawam",NA,"MT","Montana",1187597
"186","Agawam",28438,"MA","Massachusetts[E]",6960536
"187","Agawam",NA,"OK","Oklahoma",3850568
"188","Agency",638,"IA","Iowa",3214032
"189","Agency",684,"MO","Missouri",6262867
"190","Agency Village",181,"SD","South Dakota",844877
"191","Agenda",68,"KS","Kansas",2893957
"192","Agnes",NA,"TX","Texas",27506120
"193","Agness",NA,"OR","Oregon",4250757
"194","Agnew",NA,"NE","Nebraska",1943256
"195","Agnos",NA,"AR","Arkansas",3077747
"196","Agoura",NA,"CA","California",41460453
"197","Agoura Hills",20330,"CA","California",41460453
"198","Agra",267,"KS","Kansas",2893957
"199","Agra",339,"OK","Oklahoma",3850568
"200","Agricola",NA,"MS","Mississippi",2991207
"201","Agricola",NA,"KS","Kansas",2893957
"202","Agua Dulce",812,"TX","Texas",27506120
"203","Agua Dulce",3342,"CA","California",41460453
"204","Agua Fria",2800,"NM","New Mexico",2345662
"205","Agua Nueva",NA,"TX","Texas",27506120
"206","Aguada",3212,"PR","Puerto Rico (US Territory)",3613149
"207","Aguadilla",13310,"PR","Puerto Rico (US Territory)",3613149
"208","Aguanga",1128,"CA","California",41460453
"209","Aguas Buenas",4204,"PR","Puerto Rico (US Territory)",3613149
"210","Aguas Claras",3006,"PR","Puerto Rico (US Territory)",3613149
"211","Agudo",NA,"NM","New Mexico",2345662
